requestId,source,destination,category,urgency,timeSubmitted,deadline,status
R0280,L014,L048,Electrical,High,2026-07-12 08:30:00,2026-07-12 14:30:00,Completed
R0281,L050,L004,Plumbing,Low,2026-07-09 01:09:00,2026-07-12 01:09:00,Completed
R0282,L046,L019,WiFi Outage,Low,2026-07-05 06:41:00,2026-07-08 06:41:00,Completed
R0283,L030,L035,Medical Assist,High,2026-07-15 10:01:00,2026-07-15 16:01:00,Pending
R0284,L047,L018,IT Support,Low,2026-07-16 08:37:00,2026-07-19 08:37:00,In Progress
R0285,L020,L017,Medical Assist,Medium,2026-07-16 17:30:00,2026-07-17 17:30:00,Completed
R0286,L018,L029,IT Support,Low,2026-07-01 15:54:00,2026-07-04 15:54:00,Pending
R0287,L006,L003,WiFi Outage,Low,2026-07-05 08:41:00,2026-07-08 08:41:00,Completed
R0288,L002,L038,WiFi Outage,Low,2026-07-03 02:07:00,2026-07-06 02:07:00,Assigned
R0289,L018,L022,Waste Collection,Medium,2026-07-13 20:34:00,2026-07-14 20:34:00,Completed
R0290,L001,L025,WiFi Outage,Medium,2026-07-19 00:36:00,2026-07-20 00:36:00,Cancelled
R0291,L039,L005,WiFi Outage,Medium,2026-07-14 03:34:00,2026-07-15 03:34:00,Completed
R0292,L046,L037,Plumbing,Medium,2026-07-17 21:57:00,2026-07-18 21:57:00,In Progress
R0293,L002,L020,Plumbing,Low,2026-07-15 22:41:00,2026-07-18 22:41:00,Completed
R0294,L037,L049,WiFi Outage,Medium,2026-07-15 16:05:00,2026-07-16 16:05:00,Completed
R0295,L019,L028,Waste Collection,Critical,2026-07-16 22:37:00,2026-07-17 00:37:00,In Progress
R0296,L021,L004,Waste Collection,Medium,2026-07-02 06:18:00,2026-07-03 06:18:00,In Progress
R0297,L042,L026,Shuttle Request,Medium,2026-07-14 06:40:00,2026-07-15 06:40:00,Completed
R0298,L016,L027,Furniture Repair,High,2026-07-02 04:17:00,2026-07-02 10:17:00,Pending
R0299,L025,L041,Shuttle Request,Medium,2026-07-17 11:43:00,2026-07-18 11:43:00,Completed
R0300,L002,L023,IT Support,Low,2026-07-10 10:48:00,2026-07-13 10:48:00,Assigned
